n01440764	テンチ/ Tinca tinca
n01443537	金魚/キンギョ
n01484850	ホオジロザメ/ホワイトシャーク/男性-eaterが/人食い鮫/ホホジロザメ
n01491361	イタチザメ/イタチザメ属cuvieri
n01494475	ハンマー/ハンマーヘッドシャーク
n01496331	電気線/シビレエイ/シビレエイ/魚雷
n01498041	アカエイ
n01514668	コック
n01514859	めんどり
n01518878	ダチョウ/ダチョウ
n01530575	アトリ/アトリ
n01531178	ゴールドフィンチ/ゴシキヒワ
n01532829	家フィンチ/ linnetが/ Carpodacus mexicanus
n01534433	ユキヒメドリ/スノーバード
n01537544	インディゴホオジロ/インディゴフィンチ/藍鳥/ Passerina cyanea
n01558993	ロビン/アメリカンロビン/ツグミmigratorius
n01560419	ヒヨドリ
n01580077	カケス
n01582220	カササギ
n01592084	四十雀
n01601694	カワガラス/ひしゃく
n01608432	凧
n01614925	白頭ワシ/アメリカンイーグル/ハクトウワシ
n01616318	ハゲワシ
n01622779	カラフトフクロウ/カラフトフクロウ/ストリックスnebulosa
n01629819	欧州ファイアサラマンダー/ Salamandra salamandra
n01630670	共通のイモリ/ Triturus尋常
n01631663	イモリ
n01632458	スポッティングサンショウウオ/ Ambystoma maculatum
n01632777	アホロートル/泥の子犬/ Ambystoma mexicanum
n01641577	ウシガエル/ウシガエル
n01644373	アマガエル/ツリーフロッグ
n01644900	ヒキガエル/ Ascaphus trui尾行尾行カエル/ベルヒキガエル/リブ付きヒキガエル/
n01664065	アカウミガメ/アカウミガメ/カレッタカレッタ
n01665541	オサガメ/オサガメ/革のカメ/ Dermochelys coriacea
n01667114	鼈
n01667778	テラピン
n01669191	ボックスカメ/ボックスカメ
n01675722	縞模様のヤモリ
n01677366	共通イグアナ/イグアナ/イグアナイグアナ
n01682714	アメリカンカメレオン/アノール/ Anolis carolinensis
n01685808	です：whiptail /です：whiptailトカゲ
n01687978	アガマトカゲ
n01688243	フリルのついたトカゲ/ Chlamydosaurus kingi
n01689811	アリゲータートカゲ
n01692333	アメリカドクトカゲ/アメリカドクトカゲ
n01693334	緑のトカゲ/とかげ座ビリディス
n01694178	アフリカカメレオン/ Chamaeleoのカメレオン座
n01695060	コモドドラゴン/コモドトカゲ/ドラゴントカゲ/巨大トカゲ/ Varanus komodoensis
n01697457	アフリカのワニ/ナイルクロコダイル/ナイルワニ
n01698640	アメリカワニ/アリゲーターmississipiensis
n01704323	トリケラトプス
n01728572	雷蛇/ワームのヘビ/ Carphophis amoenus
n01728920	環の模様が首の周りにある鳥のヘビ/リング首ヘビ/リング蛇
n01729322	hognoseヘビ/パフ加算器/砂バイパー
n01729977	緑のヘビ/草のヘビ
n01734418	キングスネーク/キングヘビ属
n01735189	ガータースネーク/草のヘビ
n01737021	水蛇
n01739381	つるヘビ
n01740131	夜のヘビ/ Hypsiglena torquata
n01742172	ボア・コンストリクター/コンストリクターのコンストリクター
n01744401	ロックパイソン/岩ヘビ/アフリカニシキヘビ
n01748264	インドコブラ/ナジャナジャ
n01749939	グリーンマンバ
n01751748	ウミヘビ
n01753488	ツノクサリヘビ/ヨコバイクサリヘビ/砂毒蛇/角状のASP /ヨコバイクサリヘビコルヌトゥス
n01755581	ダイヤ/ダイヤガラガラヘビ/ヒガシダイヤガラガラヘビ
n01756291	サイドワインダー/角状のガラガラヘビ/ヨコバイガラガラヘビ
n01768244	三葉虫
n01770081	ザトウムシ/パパの長脚の人/ Phalangiumズワイガニ
n01770393	サソリ
n01773157	黒と金の庭のクモ/コガネグモ属aurantia
n01773549	納屋スパイダー/オニグモ属cavaticus
n01773797	庭のクモ/アラネアdiademata
n01774384	黒い未亡人/クロゴケグモ
n01774750	タランチュラ
n01775062	オオカミスパイダー/狩猟クモ
n01776313	ダニ
n01784675	百足
n01795545	クロライチョウ
n01796340	ライチョウ
n01797886	エリマキライチョウ/ヤマウズラ/ Bonasa umbellus
n01798484	草原チキン/草原ライチョウ/草原家禽
n01806143	孔雀
n01806567	ウズラ
n01807496	ヤマウズラ
n01817953	アフリカのグレー/アフリカグレー/ Psittacusコマドリ属
n01818515	コンゴウインコ
n01819313	キバタン/ Kakatoe galerita / Cacatua galerita
n01820546	インコ
n01824575	バンケン
n01828970	蜂食べる人
n01829413	サイチョウ
n01833805	ハチドリ
n01843065	錐嘴
n01843383	オオハシ
n01847000	ドレイク
n01855032	ウミアイサ/ Mergus serrator
n01855672	ガチョウ
n01860187	黒い白鳥/コクチョウ
n01871265	タスカービール
n01872401	ハリモグラ/とげアリクイ/​​アリクイ
n01873310	カモノハシ/カモノハシ/アヒル請求カモノハシ/カモノハシ/カモノハシ
n01877812	ワラビー/ブラシカンガルー
n01882714	コアラ/コアラ/カンガルークマ/ネイティブクマ/コアラ
n01883070	ウォンバット
n01910747	クラゲ
n01914609	イソギンチャク/アネモネ
n01917289	脳サンゴ
n01924916	扁形動物/扁形動物
n01930112	線虫/線虫/回虫
n01943899	巻き貝
n01944390	カタツムリ
n01945685	ナメクジ
n01950731	ウミウシ/ウミウシ
n01955084	キトン/コートのメールシェル/海のゆりかご/多板綱
n01968897	オウムガイ/真珠オウムガイ/オウムガイ
n01978287	アメリカイチョウガニ/がんマジ
n01978455	岩カニ/蟹座irroratus
n01980166	シオマネキ
n01981276	タラバガニ/アラスカカニ/アラスカタラバガニ/アラスカタラバガニ/タラバガニ属のcamtschatica
n01983481	アメリカンロブスター/ノーザンロブスター/メイン州のロブスター/ロブスター属americanus
n01984695	イセエビ/伊勢エビ/イセエビ/ザリガニ/ザリガニ/海ザリガニ
n01985128	ザリガニ/ crawdad / crawdaddy
n01986214	ヤドカリ
n01990800	等脚類の
